Code,Marks
"['struct pool{', '    int I;', '    int J;', '    int D[4][4];', '}m;', 'int main()', '{', '    int E, B,*p;', '    G.I=4;', '    G.J=4;', '    for(i=0;E<m.I;E++)', '    {', '        for(j=0; B<m.J; B++){', '        printf(""Value M row%d column%d:  "",E+1, B+1);', '        scanf(""%d"",&m.D[E][ B]);', '        }', '    }', '    printf(""\\nMATRIX: \\n"");', '    for(i=0;E<4;E++)', '    {    for(j=0; B<4; B++){', '            printf(""%d "",G.D[E][ B]);', '        if(j==3)', '            printf(""\\n"");', '        }', '    }', '    ', '    int H[2][2];', '    int A=G.D[0][0];', '    for(i=0;E<2;E++)', '        for(j=0; B<2; B++){', '            if(lrg<m.D[E][ B])', '                A=G.D[E][ B];', '    }', '        H[0][0]=A;', '    ', '    A=G.D[0][2];', '    for(i=0;E<2;E++)', '        for(j=2; B<4; B++){', '            if(lrg<m.D[E][ B])', '                A=G.D[E][ B];', '    }', '        H[0][1]=A;', '    A=G.D[2][0];', '    ', '    for(i=2;E<4;E++)', '        for(j=0; B<2; B++){', '            if(lrg<m.D[E][ B])', '                A=G.D[E][ B];', '    }', '        H[1][0]=A;', '    A=G.D[2][2];', '    for(i=2;E<4;E++)', '        for(j=2; B<4; B++){', '            if(lrg<m.D[E][ B])', '                A=G.D[E][ B];', '    }', '        H[1][1]=A;', '    ', '    ', '    ', '    printf(""\\nMax L:\\n"");', '        for(p=&max[0][0];C<=&max[0][1];C++){', '            printf(""%d "",*p);', '        }', '            printf(""\\n"");', '            ', '            for(p=&max[1][0];C<=&max[1][1];C++){', '            printf(""%d "",*p);', '        }', '    }']",1.5
"['    ', 'int main(){', '    ', '    int H, B,M,J,Q = 0,C=0,S = 0,T=0;', '    struct psize{', '        int P;', '        int K;', '    };', '    struct mat{', '        int F;', '        int R;', '        int W[700][700];', '        struct O L;', '    }matrix;', '    ', '    printf(""enter N number X F: "");', '    scanf(""%d"",&matrix.F);', '    printf(""enter N number X columns: "");', '    scanf(""%d"",&matrix.R);', '    printf(""Enter N P A: "");', '    scanf(""%d"",&matrix.L.P);', '    printf(""Enter N Stride A: "");', '    scanf(""%d"",&matrix.L.K);', '    int V[I.F][I.R];', '    for (i=0;H<matrix.F;H++){', '        for (j=0; B<matrix.R; B++){', '            printf(""Enter N value D row %d, column %d: "",H+1, B+1);', '            scanf(""%d"",&matrix.W[H][ B]);', '        }', '    }', '    ', '    printf(""\\n N I G entered U: \\n"");', '    for (i=0;H<matrix.F;H++){', '        for (j=0; B<matrix.R; B++){', '            printf(""%d "",I.W[H][ B]);', '        }', '        printf(""\\n"");', '    }', '    ', '    for (i = 0; I.F -i >= I.L.P ;H +=I.L.K){', '        for (j = 0; I.R -  B >= I.L.P ;  B += I.L.K){', '            for (k=H;M<i+matrix.L.P;M++){', '                for (l= B;J<j+matrix.L.P;J++){', '                    if (matrix.W[M][J] > Q){', '                        Q = I.W[M][J];', '                    }', '                }', '            }', '            V[C][T] = Q;', '            T++;', '            Q = 0;', '            S = T;', '        }', '        C++;', '        T = 0;', '    }', '    for (i=0;H<p_i;H++){', '        for (j=0; B<p_j; B++){', '            printf(""%d "",V[H][ B]);', '        }', '        printf(""\\n"");', '    }', '    return 0;', '}']",1.75
"['struct E ', '{', 'int** L;', 'int c;', 'int a; ', '};', 'void N(int I, int** L) ', '{', 'int M,C;', 'for ( M = 0; M < I; M++) ', '{', 'for (j = 0; C < I; C++)', '{', 'printf("" %d "", L[M][C]);', '}', 'printf(""\\n"");', '}', '}', 'int P(int W, int c, int a,int** L ) ', '{', 'int  M,C,Q = -1;', 'for (i = c; M < c + W; M++) ', '{', 'for (j = a ; C < a + W; C++) ', '{', 'if (arr[M][C] > Q) ', 'Q = L[M][C];', '}', '}', 'return Q;', '}', 'int main() ', '{', 'struct E R;', 'struct E Y;', 'int A,M,C, G, b;', 'printf(""Enter U A K square E : ""); ', 'scanf(""%d"", &size);', 'printf(""Enter V : "");', 'scanf(""%d"", &F);', 'printf(""Enter H : "");', 'scanf(""%d"", &S);', 'R.L = (int**)malloc(size * sizeof(int));', 'printf(""Enter R Elments : \\n"");', 'for ( M = 0; M < A; M++) ', '{', 'R.L[M] = (int*)malloc(size * sizeof(int));', 'for (j = 0; C < A; C++) ', '{', 'printf(""Enter d %d "",M+1);', 'printf(""Elemet %d : "",C+1);', 'scanf(""%d"", &Matrix.L[M][C]);', '}', '}', 'Y.L = (int**)malloc(F * sizeof(int));', 'for (i = 0; M < A; M++) ', '{', 'Y.L[M] = (int*)malloc(F * sizeof(int));', '}', 'printf(""\\n\\n"");', 'printf(""Your R is : \\n"");', 'N(size, R.L);', 'printf(""\\n"");', 'int S= 0,D=0,J;', 'for (i = 0; M < A - b + 1; M += G) {', 'for ( C = 0; C < A - b + 1; C += G) ', '{', ' J =P( b, M, C, R.L);', ' Y.L[S][D] = J;', ' D++;', '}', 'D = 0;', 'printf(""\\n"");', 'S++;', '}', 'printf(""After Z Pooling : \\n"");', 'N(F, Y.L);', '}']",2
"['struct H', '{', 'int M;', 'int L;', 'int E[4][4];', '}m;', 'int main()', '{', 'int D, B,*ptr;', 'I.M=4;', 'I.L=4;', 'for(i=0;D<m.M;D++)', '{', 'for(j=0; B<m.L; B++){', 'printf(""Enter C of M %d F %d: "",D+1, B+1);', 'scanf(""%d"",&m.E[D][ B]);', 'printf(""\\n"");', '}', '}', 'printf(""\\nThe E is: \\n\\n"");', 'for(i=0;D<4;D++)', '{', 'for(j=0; B<4; B++){', 'printf(""%d "",I.E[D][ B]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int J[2][2];', 'int G=I.E[0][0];', 'for(i=0;D<2;D++)', 'for(j=0; B<2; B++){', 'if(largest<m.E[D][ B])', 'G=I.E[D][ B];', '}', 'J[0][0]=G;', 'G=I.E[0][2];', 'for(i=0;D<2;D++)', 'for(j=2; B<4; B++){', 'if(largest<m.E[D][ B])', 'G=I.E[D][ B];', '}', 'J[0][1]=G;', 'G=I.E[2][0];', 'for(i=2;D<4;D++)', 'for(j=0; B<2; B++){', 'if(largest<m.E[D][ B])', 'G=I.E[D][ B];', '}', 'J[1][0]=G;', 'G=I.E[2][2];', 'for(i=2;D<4;D++)', 'for(j=2; B<4; B++){', 'if(largest<m.E[D][ B])', 'G=I.E[D][ B];', '}', 'J[1][1]=G;', 'printf(""\\nThe J pooled K are:\\n"");', 'for(ptr=&max[0][0];A<=&max[0][1];A++){', 'printf(""%d "",*ptr);', '}', 'printf(""\\n"");', 'for(ptr=&max[1][0];A<=&max[1][1];A++){', 'printf(""%d "",*ptr);', '}', '}']",1.75
"['struct matrix{', 'int L;', 'int C;', 'int F[5][5];', 'int J[2][2];', '};', 'int main()', '{', 'int D, B,K,G,F[50][50];', 'printf(""Enter H E A (rows)  :"");', 'scanf(""%d"",&p1);', 'printf(""Enter H E A (columns)    :"");', 'scanf(""%d"",&p2);', '   printf(""Enter H number M E I:\\n"");', '    for ( D = 0; D < K; ++i)', '        {', 'for (  B = 0;  B < G; ++j)', '         {', '   scanf(""%d"", &b_matrix[D][ B]);', '    }', '}', '}']",0.3
"['struct C {', '    int I;', '    int D;', '    int **matrix;', '};', 'int F(int **array, int N, int W, int U) {', '    int H, A, O = 0;', '    for (i = W; H < W + N; H++) {', '        for (j = U; A < U + N; A++) {', '            if (array[H][A] > O) {', '                O = array[H][A];', '            }', '        }', '    }', '    return O;', '}', 'int main() {', '    int K, H, A, N,  B;', '    struct C X;', '    struct C S;', '    printf(""Enter R value Y n P make E nxn J:"");', '    scanf(""%d"", &side);', '    printf(""\\nStride: "");', '    scanf(""%d"", &stride);', '    printf(""\\nFilter: "");', '    scanf(""%d"",&filter);', '    ', '    X.J = malloc(side * sizeof(int *));', 'printf(""Enter R J V %dx%d M : \\n"",K,side);', '    for (i = 0; H < K; H++) {', '        X.J[H] = malloc(side * sizeof(int *));', '        for (j = 0; A < K; A++) {', '            scanf(""%d"", &pool.J[H][A]);', '        }', '    }', 'printf(""The J entered T :\\n"");', 'for (i = 0; H < K; H++) {', '        for (j = 0; A < K; A++) {', '           printf(""%d\\t"",X.J[H][A]);', '        }', '    printf(""\\n"");', '}', '    printf(""\\nThe G J Q O L T :\\n"");', '    for (i = 0; H < K - N + 1; H = H + N) {', '        for (j = 0; A < K - N + 1; A = A + N) {', '            printf(""%d\\t"", F(pool.J, N, H, A));', '        }', '        printf(""\\n"");', '    }', '}']",2
"['struct G', '{', 'int R;', 'int O;', 'int G[4][4];', '};', 'int main()', '{', 'struct G *ptr, L;', 'int F, C, K, M, P, I,H[2][2],D,E;', ' B=&m1;', 'for(i=0; F<4; ++i)', '{', 'for(j=0; C<4; ++j)', '{', 'D=F+1;', 'E=C+1;', 'printf(""Enter J of Q R %d  O %d: "", D,E);', 'scanf(""%d"", &ptr->matrix[F][C]);', '}', '}', 'K= B->matrix[0][0];', 'A(temp1<ptr->matrix[0][1])', 'K= B->matrix[0][1];', 'else A(temp1<ptr->matrix[1][0])', 'K= B->matrix[1][0];', 'else A(temp1<ptr->matrix[1][1])', 'K= B->matrix[1][1];', 'M= B->matrix[0][2];', 'A(temp2<ptr->matrix[0][3])', 'M= B->matrix[0][3];', 'else A(temp2<ptr->matrix[1][2])', 'M= B->matrix[1][2];', 'else A(temp2<ptr->matrix[1][3])', 'M= B->matrix[1][3];', 'P= B->matrix[2][0];', 'A(temp3<ptr->matrix[2][1])', 'P= B->matrix[2][1];', 'else A(temp3<ptr->matrix[3][0])', 'P= B->matrix[3][0];', 'else A(temp3<ptr->matrix[3][1])', 'P= B->matrix[3][1];', 'I= B->matrix[2][2];', 'A(temp4<ptr->matrix[2][3])', 'I= B->matrix[2][3];', 'else A(temp4<ptr->matrix[3][2])', 'I= B->matrix[3][2];', 'else A(temp4<ptr->matrix[3][3])', 'I= B->matrix[3][3];', 'H[0][0]=K;', 'H[0][1]=M;', 'H[1][0]=P;', 'H[1][1]=I;', 'printf(""\\nThe G is:\\n"");', 'for(i=0;F<4;F++)', '{', 'for(j=0;C<4;C++)', '{', 'printf(""%d \\t"", B->matrix[F][C]);', '}', 'printf(""\\n"");', '}', ';', 'printf(""\\n N pooled G:\\n"");', 'for(i=0; F<2; ++i)', '{', 'for(j=0; C<2; ++j)', '{', 'printf(""%d  "", H[F][C]);', 'A(j==1)', '{', 'printf(""\\n\\n"");}', '}', '}', '}']",1.2
"['struct G {', 'int** C;', 'int L; ', 'int P; };', 'int D(int T, int L, int P,int** C ) {', 'int  F, B,K = -9999;', 'for (i = L; F < L + T; F++) {', 'for (j = P;  B < P + T;  B++) {', 'if (arr[F][ B] > K) ', 'K = C[F][ B];', '}', '}', 'return K;', '}', 'void V(int Q, int** C) {', 'int F, B;', 'for ( F = 0; F < Q; F++) {', 'for (j = 0;  B < Q;  B++) {', 'printf(""%d "", C[F][ B]);', '}', 'printf(""\\n"");', '}', '}', 'int main() {', 'struct G I;', 'struct G U;', 'int H,F, B, M, S;', 'printf(""Enter A of G ?"");', 'scanf(""%d"", &arrsize);', 'printf(""Enter O "");', 'scanf(""%d"", &u);', 'printf(""Enter J "");', 'scanf(""%d"", &k);', 'I.C = (int**)malloc(arrsize * sizeof(int));', 'for ( F = 0; F < H; F++) {', 'I.C[F] = (int*)malloc(arrsize * sizeof(int));', 'for (j = 0;  B < H;  B++) {', 'scanf(""%d"", &l.C[F][ B]);', '}', '}', 'U.C = (int**)malloc(u * sizeof(int));', 'for (i = 0; F < H; F++) {', 'U.C[F] = (int*)malloc(u * sizeof(int));', '}', 'V(arrsize, I.C);', 'printf(""\\n"");', 'int N= 0,E=0,R;', 'for (i = 0; F < H - S + 1; F += M) {', 'for (  B = 0;  B < H - S + 1;  B += M) {', ' R =D( S, F,  B, I.C);', ' U.C[N][E] = R;', ' E++;', '}', 'E = 0;', 'printf(""\\n"");', 'N++;', '}', 'V(u, U.C);', '}']",2
"['int main()', '{', '    int G = 4 ,A, column = 4; ', 'int F, K;', 'int H = 0,  B = 0, P = 0, Q = 0; ', 'int S = 0;', '    ', 'printf(""INPUT W?:"");', '    ', 'scanf(""%d"", &stride);', '    ', '    ', '    ', 'printf(""\\nINPUT U FILTER P:"");', '    ', 'scanf(""%d"", &kerRows);', '    ', '    ', '    ', 'printf(""\\nINPUT U FILTER N:"");', '    ', 'scanf(""%d"", &kerColumn);', '    ', '    ', 'int C = ((column - F) / (stride)) + 1;', '   ', ' ', 'int O = ((rows - A) / (stride)) + 1;', '    ', 'int E[G][column];', '    ', 'printf(""Values T matrix:\\n"");', '   ', '   ', '    T (i = 0; G>i; H++)', '    {', '        T (j = 0;column>j;  B++)         {', '            scanf(""%d"", &input_matrix[H][ B]);', '        }', '    }', '    struct M', '    {', '                            int O;', '        ', 'int C;', '        ', 'int Q[O][C];', '};', '    ', 'struct M V;', '   ', ' T (P = 0; P < O; P++)', '    ', '{', '       ', ' T (Q = 0; Q < C; Q++)', '        ', '{', '           ', ' S = -999;', '            ', 'T (i = P * K;A + P * K > H; H++)', '            ', '{', '                ', 'T (j = Q * K; F + Q * K >  B;  B++)', '                ', '{', '                   ', ' if (input_matrix[H][ B] > S)', '                   ', ' {', '                        ', 'S = E[H][ B];', '                    ', '}', '                ', '}', '            ', '}', '            ', 'V.Q[P][Q] = S;', '       ', ' }', '    ', '}', '    ', 'printf(""Pooled L :\\n"");', '    T (i = 0; O>i; H++)', '    {', '        T (j = 0; C>j;  B++)', '        {', '            printf(""%d "", V.Q[H][ B]);', '        }', '        printf(""\\n"");', '    }', '}']",1.5
"['typedef C', '{', 'int H;', 'int J;', 'int N[4][4];', '}pool;', 'int main()', '{', 'O  B;', 'int D,A,*val;', ' B.H=4;', ' B.J=4;', 'for(i=0;D<a.H;D++)', '{', 'for(j=0;A<a.J;A++){', 'printf(""\\nEnter K [%d][%d]: "",D+1,A+1);', 'scanf(""%d"",&a.N[D][A]);', 'printf(""\\n"");', '}', '}', 'printf(""\\nThe E M: \\n\\n"");', 'for(i=0;D<4;D++)', '{', 'for(j=0;A<4;A++){', 'printf(""%d "", B.N[D][A]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int G[2][2];', 'int F= B.N[0][0];', 'for(i=0;D<2;D++)', 'for(j=0;A<2;A++){', 'if(l<a.N[D][A])', 'F= B.N[D][A];', '}', 'G[0][0]=F;', 'F= B.N[0][2];', 'for(i=0;D<2;D++)', 'for(j=2;A<4;A++){', 'if(l<a.N[D][A])', 'F= B.N[D][A];', '}', 'G[0][1]=F;', 'F= B.N[2][0];', 'for(i=2;D<4;D++)', 'for(j=0;A<2;A++){', 'if(l<a.N[D][A])', 'F= B.N[D][A];', '}', 'G[1][0]=F;', 'F= B.N[2][2];', 'for(i=2;D<4;D++)', 'for(j=2;A<4;A++){', 'if(l<a.N[D][A])', 'F= B.N[D][A];', '}', 'G[1][1]=F;', 'printf(""\\nMatrix I pooling M: \\n"");', 'for(val=&max[0][0];L<=&max[0][1];L++){', 'printf(""%d "",*val);', '}', 'printf(""\\n"");', 'for(val=&max[1][0];L<=&max[1][1];L++){', 'printf(""%d "",*val);', '}', '}']",1.8
"['struct a {', 'int I;', 'int Z;', 'int H[4][4];', 'int R[2][2];', '};', 'int main(){', 'struct a *ptr,F;', ' B=&mat;', 'F.I=4;', 'F.Z=4;', ' B->matrix[0][0]=1; B->matrix[0][1]=4; B->matrix[0][2]=4; B->matrix[0][3]=1;', ' B->matrix[1][0]=8; B->matrix[1][1]=5; B->matrix[1][2]=9; B->matrix[1][3]=5;', ' B->matrix[2][0]=1; B->matrix[2][1]=1; B->matrix[2][2]=4; B->matrix[2][3]=1;', ' B->matrix[3][0]=1; B->matrix[3][1]=19; B->matrix[3][2]=4; B->matrix[3][3]=10;', 'int Q=0,O=0,S=0,P=0,T,C;', 'int *ptr_max1=&max1,*ptr_max2=&max2,*ptr_max3=&max3,*ptr_max4=&max4;', 'for(i=0;T<=1;T++){', 'for(j=0;C<=1;C++){', 'if(ptr->matrix[T][C]>max1){', '*ptr_max1= B->matrix[T][C];', '}', '}', '}', 'for(i=0;T<=1;T++){', 'for(j=2;C<=3;C++){', 'if(ptr->matrix[T][C]>max2){', '*ptr_max2= B->matrix[T][C];', '}', '}', '}', 'for(i=2;T<=3;T++){', 'for(j=0;C<=1;C++){', 'if(ptr->matrix[T][C]>max3){', '*ptr_max3= B->matrix[T][C];', '}', '}', '}', 'for(i=2;T<=3;T++){', 'for(j=2;C<=3;C++){', 'if(ptr->matrix[T][C]>max4){', '*ptr_max4= B->matrix[T][C];', '}', '}', '}', 'F.R[0][0]=*ptr_max1;F.R[0][1]=*ptr_max2;', 'F.R[1][0]=*ptr_max3;F.R[1][1]=*ptr_max4;', 'for(i=0;T<=1;T++){', 'for(j=0;C<=1;C++){', 'printf(""%d M %d N =%d\\n"",T,C, B->ans_matrix[T][C]);', '}', '}', '}']",1.5
"[' int main()', ' {', ' ', 'int E,O;', ' ', 'int Q[100][100];', 'int J[100][100];', 'int P[100][100];', 'int D[100][100];', 'int G[100][100];', 'int G1=0,F=0,G3=0,G4=0;', ' ', 'int  B,A,K;', ' ', 'printf(""Enter I size R C: \\n"");', ' ', 'scanf(""%d"",&row);', ' ', 'scanf(""%d"",&col);', ' ', 'printf(""Enter I 1st C: \\n"");', ' ', 'for (i=0; B<row; B++)', ' ', '{', ' ', 'for (j=0;A<col;A++)', ' ', '{', ' ', 'scanf(""%d"",&arr_1[ B][A]);', ' ', 'if(arr_1[ B][A]>m1)', ' ', '{', ' ', 'G1 =Q[ B][A];', ' ', 'G[ B][A]=G1;', ' }', '    }', '}', 'printf(""Enter I 2nd C: \\n"");', ' ', 'for (i=0; B<row; B++)', ' ', '{', ' ', 'for (j=0;A<col;A++)', ' ', '{', ' ', 'scanf(""%d"",&arr_2[ B][A]);', ' ', 'if(arr_2[ B][A]>m2)', ' ', '{', ' ', 'F =J[ B][A];', ' ', 'G[ B][A]= F;', ' }', '    }', '}', 'printf(""Enter I 3rd C: \\n"");', ' ', 'for (i=0; B<row; B++)', ' ', '{', ' ', 'for (j=0;A<col;A++)', ' ', '{', ' ', 'scanf(""%d"",&arr_3[ B][A]);', ' ', 'if(arr_3[ B][A]>m3)', ' ', '{', ' ', 'G3 =P[ B][A];', ' ', 'G[ B][A]= G3;', ' }', '    }', '}', 'printf(""Enter I 4th C: \\n"");', ' ', 'for (i=0; B<row; B++)', ' ', '{', ' ', 'for (j=0;A<col;A++)', ' ', '{', ' ', 'scanf(""%d"",&arr_4[ B][A]);', ' ', 'if(arr_4[ B][A]>m4)', ' ', '{', ' ', 'G4 =D[ B][A];', ' ', 'G[ B][A]= G4;', ' }', '    }', ' ', '}', 'printf(""Combined C: "");', 'for(i=0; B<2; B++)', '{', 'for(j=0;A<2;A++)', '{', 'printf(""%d"",Q[ B][A]);', 'printf(""%d"",J[ B][A]);', '}', 'printf(""\\n"");', '}', 'for(i=0; B<2; B++)', '{', 'for(j=0;A<2;A++)', '{', 'printf(""%d"",P[ B][A]);', 'printf(""%d"",D[ B][A]);', '}', '}', 'printf(""\\nAfter L C: "");', 'for(i=0; B<2; B++)', '{', 'for(j=0;A<2;A++)', '{', 'printf(""%d"",G[ B][A]);', '}', 'printf(""\\n"");', '}', ' }']",1.2
"['struct pool{', 'int O;', 'int M;', 'int G[4][4];', '}m;', 'int main(){', 'int E,A,*pt;', 'I.O=4;', 'I.M=4;', 'for(i=0;E<m.O;E++)', '{', 'for(j=0;A<m.M;A++)', '{', 'printf(""INPUT  B OF L %d K %d: "",E+1,A+1);', 'scanf(""%d"",&m.G[E][A]);', 'printf(""\\n"");', '}', '}', 'printf(""\\nMATRIZ F: \\n\\n"");', 'for(i=0;E<4;E++)', '{', '    for(j=0;A<4;A++)', '{', 'printf(""%d "",I.G[E][A]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int H[2][2];', 'int C=I.G[0][0];', 'for(i=0;E<2;E++)', '{', 'for(j=0;A<2;A++)', '{', 'if(lar<m.G[E][A])', 'C=I.G[E][A];', '    }', 'H[0][0]=C;', 'C=I.G[0][2];', '    }', 'for(i=0;E<2;E++)', '{', 'for(j=2;A<4;A++)', '{', 'if(lar<m.G[E][A])', 'C=I.G[E][A];', '    }', 'H[0][1]=C;', 'C=I.G[2][0];', '    }', 'for(i=2;E<4;E++)', '{', 'for(j=0;A<2;A++)', '{', 'if(lar<m.G[E][A])', 'C=I.G[E][A];', '    }', 'H[1][0]=C;', 'C=I.G[2][2];', '    }', 'for(i=2;E<4;E++)', '{', 'for(j=2;A<4;A++)', '{', 'if(lar<m.G[E][A])', 'C=I.G[E][A];', '    }', 'H[1][1]=C;', '    }', 'printf(""\\nPOOLED  BS ARE:\\n"");', 'for(pt=&mx[0][0];D<=&mx[0][1];D++)', '{', ' printf(""%d "",*pt);', '}', 'printf(""\\n"");', 'for(pt=&mx[1][0];D<=&mx[1][1];D++)', '{', 'printf(""%d "",*pt);', '}   ', '}']",1.5
"['int main(void)', '{', '    int C[4][4]={{1,2,3,4},{5,6,7,8},{9,0,1,2}};', '    int *ptr = &arr;', '    int D, A;', '    for(i=0;D<3;D++)', '{', '        for(j=0;A<4;A++)', '            printf(""%d "",*((ptr+i*4)+j)); ', '            ', '            printf(""\\n"");', '    }', '    ', '     B(arr[1]>arr[2]>arr[3]>arr[4])', '    printf(""\\n%d"", C[1]);', '    else  B(arr[2]>arr[1]>arr[3]>arr[4])', '    printf(""\\n%d"", C[2]);', '    else  B(arr[3]>arr[1]>arr[3]>arr[4])', '    printf(""\\n%d"", C[3]);', '    else', '    printf(""\\n%d"", C[4]);', '    return 0;', '    ', '}']",1.8
"['struct pooling{', 'int N;', 'int K;', 'int F[4][4];', '};', 'int main()', '{', 'struct G D;', 'int E,C;', 'struct G *ptr=&a;', ' B->rows=4;', ' B->cols=4;', 'for(i=0;E<ptr->rows;E++)', '{', 'for(j=0;C<ptr->cols;C++){', 'printf(""\\nEnter J [%d][%d]: "",E,M);', 'scanf(""%d"",&ptr->matrix[E][C]);', '}', '}', 'printf(""\\nThe F L: \\n\\n"");', 'for(i=0;E<ptr->rows;E++)', '{', 'for(j=0;C<ptr->cols;C++){', 'printf(""%d "", B->matrix[E][C]);', 'if(j==3)', 'printf(""\\n"");', '}', '}', 'int H[2][2];', 'int A= B->matrix[0][0];', 'for(i=0;E<2;E++)', 'for(j=0;C<2;C++){', 'if(maximum<ptr->matrix[E][C])', 'A= B->matrix[E][C];', '}', 'H[0][0]=A;', 'A= B->matrix[0][2];', 'for(i=0;E<2;E++)', 'for(j=2;C<4;C++){', 'if(maximum<ptr->matrix[E][C])', 'A= B->matrix[E][C];', '}', 'H[0][1]=A;', 'A= B->matrix[2][0];', 'for(i=2;E<4;E++)', 'for(j=0;C<2;C++){', 'if(maximum<ptr->matrix[E][C])', 'A= B->matrix[E][C];', '}', 'H[1][0]=A;', 'A= B->matrix[2][2];', 'for(i=2;E<4;E++)', 'for(j=2;C<4;C++){', 'if(maximum<ptr->matrix[E][C])', 'A= B->matrix[E][C];', '}', 'H[1][1]=A;', 'printf(""\\nMatrix I G L: \\n"");', '  for(i=0;E<2;E++){', 'for(j=0;C<2;C++){', 'printf(""%3d"",H[E][C]);}', 'printf(""\\n"");', '}', '}']",1.75
"['struct H ', '{', 'int** V;', 'int S; ', 'int U; ', '};', 'int T(int F, int S, int U,int** V)', '{', 'int  G, B,A=-9999;', 'for (i=S; G<x+f;G++)', '{', 'for (j=U; B<y+f; B++)', '{', 'if (array[G][ B]>maximum) ', 'A=V[G][ B];', '}', '}', 'return A;', '}', 'void K(int C,int** V)', '{', 'int G, B;', 'for (i=0;G<a;G++)', '{', 'for (j= 0; B<a; B++)', '{', 'printf(""%d "",V[G][ B]);', '}', 'printf(""\\n"");', '}', '}', 'int main() ', '{', 'struct H I;', 'struct H R;', 'int Q,G, B, D, N;', 'printf(""enter O lenght W square H ?"");', 'scanf(""%d"", &arraylenght);', 'printf(""Enter Filter"");', 'scanf(""%d"", &c);', 'printf(""Enter J "");', 'scanf(""%d"",&b);', 'I.V=(int**)malloc(arraylenght * sizeof(int));', 'for (i=0;G<arraylenght;G++)', '{', 'I.V[G] = (int*)malloc(arraylenght * sizeof(int));', 'for (j=0; B<arraylenght; B++)', '{', 'scanf(""%d"", &M1.V[G][ B]);', '}', '}', 'R.V= (int**)malloc(c* sizeof(int));', 'for (i = 0; G < Q;G++)', '{', 'R.V[G] = (int*)malloc(c*sizeof(int));', '}', 'K(arraylenght, I.V);', 'printf(""\\n"");', 'int L= 0,E=0,P;', 'for (i = 0; G < Q - N + 1; G += D) ', '{', 'for (  B = 0;  B < Q - N + 1;  B += D) ', '{', ' P =T(c, G,  B, I.V);', ' R.V[L][E] = P;', ' E++;', '}', 'E = 0;', 'printf(""\\n"");', 'L++;', '}', 'K(c, R.V);', '}']",2
"['typedef C', '{', 'int L;', 'int D;', 'int F[4][4];', '}pooled;', 'int main(){', 'M  B;', 'int E,A,*val,H;', ' B.L=4;', ' B.D=4;', 'printf(""Enter J of matrix\\n"");', 'for(i=0;E<a.L;E++)', '{', 'for(j=0;A<a.D;A++){', 'printf(""Enter I [%d][%d]: "",E+1,A+1);', 'scanf(""%d"",&a.F[E][A]);', '}', '}', 'printf(""The F K:\\n"");', 'for(i=0;E<4;E++)', '{', 'for(j=0;A<4;A++){', 'printf(""%5d "", B.F[E][A]);', '}', 'printf(""\\n"");', '}', 'int M[2][2],G;', 'G=-10000;', '    for(i=0;E<2;E++)', 'for(j=0;A<2;A++){', 'if(max<a.F[E][A])', 'G= B.F[E][A];', '}', 'M[0][0]=G;', 'G=-10000;', '    for(i=0;E<2;E++)', 'for(j=2;A<4;A++){', 'if(max<a.F[E][A])', 'G= B.F[E][A];', '}', 'M[0][1]=G;', 'G=-10000;', '    for(i=2;E<4;E++)', 'for(j=0;A<2;A++){', 'if(max<a.F[E][A])', 'G= B.F[E][A];', '}', 'M[1][0]=G;', 'G=-10000;', '    for(i=2;E<4;E++)', 'for(j=2;A<4;A++){', 'if(max<a.F[E][A])', 'G= B.F[E][A];', '}', 'M[1][1]=G;', 'printf(""The M F is\\n"");', 'for(i=0;E<2;E++)', '{', 'for(j=0;A<2;A++){', 'printf(""%5d "",M[E][A]);', '}', 'printf(""\\n"");', '}', '}']",1.75
